Model Name,Input Rate per 1K tokens,Cost Category,Category Description,Raw Pricing Text
ai21.jamba-1-5-large-v1:0,Not found,Unknown,Pricing information not available,N/A
ai21.jamba-1-5-mini-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-canvas-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-lite-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-micro-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-premier-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-pro-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-reel-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.nova-reel-v1:1,Not found,Unknown,Pricing information not available,N/A
amazon.nova-sonic-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.rerank-v1:0,Not found,Unknown,Pricing information not available,N/A
amazon.titan-embed-text-v1,Not found,Unknown,Pricing information not available,N/A
amazon.titan-image-generator-v2:0,Not found,Unknown,Pricing information not available,N/A
amazon.titan-image-generator-v1,Not found,Unknown,Pricing information not available,N/A
amazon.titan-embed-image-v1,Not found,Unknown,Pricing information not available,N/A
amazon.titan-embed-text-v2:0,Not found,Unknown,Pricing information not available,N/A
amazon.titan-text-express-v1,Not found,Unknown,Pricing information not available,N/A
amazon.titan-text-lite-v1,Not found,Unknown,Pricing information not available,N/A
amazon.titan-text-premier-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-haiku-20240307-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-opus-20240229-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-sonnet-20240229-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-5-haiku-20241022-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-5-sonnet-20241022-v2:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-5-sonnet-20240620-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-3-7-sonnet-20250219-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-opus-4-20250514-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-sonnet-4-20250514-v1:0,Not found,Unknown,Pricing information not available,N/A
cohere.command-light-text-v14,Not found,Unknown,Pricing information not available,N/A
cohere.command-r-plus-v1:0,Not found,Unknown,Pricing information not available,N/A
cohere.command-r-v1:0,Not found,Unknown,Pricing information not available,N/A
cohere.command-text-v14,Not found,Unknown,Pricing information not available,N/A
cohere.embed-english-v3,Not found,Unknown,Pricing information not available,N/A
cohere.embed-multilingual-v3,Not found,Unknown,Pricing information not available,N/A
cohere.rerank-v3-5:0,Not found,Unknown,Pricing information not available,N/A
deepseek.r1-v1:0,Not found,Unknown,Pricing information not available,N/A
luma.ray-v2:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-8b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-70b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-1-8b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-1-70b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-1-405b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-2-1b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-2-3b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-2-11b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-2-90b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama3-3-70b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama4-maverick-17b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
meta.llama4-scout-17b-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
mistral.mistral-7b-instruct-v0:2,Not found,Unknown,Pricing information not available,N/A
mistral.mistral-large-2402-v1:0,Not found,Unknown,Pricing information not available,N/A
mistral.mistral-large-2407-v1:0,Not found,Unknown,Pricing information not available,N/A
mistral.mistral-small-2402-v1:0,Not found,Unknown,Pricing information not available,N/A
mistral.mixtral-8x7b-instruct-v0:1,Not found,Unknown,Pricing information not available,N/A
mistral.pixtral-large-2502-v1:0,Not found,Unknown,Pricing information not available,N/A
stability.sd3-5-large-v1:0,Not found,Unknown,Pricing information not available,N/A
stability.stable-image-core-v1:1,Not found,Unknown,Pricing information not available,N/A
stability.stable-image-ultra-v1:1,Not found,Unknown,Pricing information not available,N/A
twelvelabs.marengo-embed-2-7-v1:0,Not found,Unknown,Pricing information not available,N/A
twelvelabs.pegasus-1-2-v1:0,Not found,Unknown,Pricing information not available,N/A
writer.palmyra-x4-v1:0,Not found,Unknown,Pricing information not available,N/A
writer.palmyra-x5-v1:0,Not found,Unknown,Pricing information not available,N/A
ai21.jamba-instruct-v1:0,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-v2:1,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-v2,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-instant-v1,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-instant-v1:2,Not found,Unknown,Pricing information not available,N/A
anthropic.claude-v2:0,Not found,Unknown,Pricing information not available,N/A
stability.sd3-large-v1:0,Not found,Unknown,Pricing information not available,N/A
stability.stable-diffusion-xl-v1,Not found,Unknown,Pricing information not available,N/A
stability.stable-image-core-v1:0,Not found,Unknown,Pricing information not available,N/A
stability.stable-image-ultra-v1:0,Not found,Unknown,Pricing information not available,N/A
